https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CFX,Volume USDT,tradecount
1670976000000,2022-12-14,CFXUSDT,0.0269,0.0273,0.0261,0.0263,13765495.0,367072.2545,2440
1670889600000,2022-12-13,CFXUSDT,0.0266,0.0279,0.0256,0.0269,25700987.0,685447.1298,4021
1670803200000,2022-12-12,CFXUSDT,0.0272,0.0272,0.026,0.0267,13225524.0,349750.7717,2584
1670716800000,2022-12-11,CFXUSDT,0.0273,0.028,0.0271,0.0271,13486217.0,371796.0113,2249
1670630400000,2022-12-10,CFXUSDT,0.0278,0.0286,0.0271,0.0273,24505357.0,675759.0186,3995
1670544000000,2022-12-09,CFXUSDT,0.0271,0.0292,0.0268,0.0277,40122125.0,1132665.3382,8509
1670371200000,2022-12-07,CFXUSDT,0.0281,0.0281,0.0265,0.0266,12056827.0,325906.5208,3078
1670284800000,2022-12-06,CFXUSDT,0.0279,0.0284,0.0274,0.028,15703265.0,437880.3299,3794
1670198400000,2022-12-05,CFXUSDT,0.0289,0.0292,0.0267,0.0279,21292627.0,606305.2734,3880
1670112000000,2022-12-04,CFXUSDT,0.0284,0.0293,0.0283,0.029,9728584.0,279148.9502,2265
1670025600000,2022-12-03,CFXUSDT,0.029,0.0296,0.0284,0.0285,14607186.0,423989.6994,3495
1669939200000,2022-12-02,CFXUSDT,0.0288,0.0296,0.0284,0.0291,16687744.0,484330.7883,3959
1669852800000,2022-12-01,CFXUSDT,0.0291,0.0293,0.0284,0.0288,15703436.0,451671.3819,3799
1669766400000,2022-11-30,CFXUSDT,0.0282,0.0292,0.0282,0.0291,19132425.0,549679.6535,4473
1669680000000,2022-11-29,CFXUSDT,0.0278,0.0295,0.0276,0.0283,27291997.0,780514.1041,6771
1669593600000,2022-11-28,CFXUSDT,0.0282,0.0289,0.0272,0.0279,37224650.0,1039555.0737,7325
1669507200000,2022-11-27,CFXUSDT,0.0274,0.0341,0.0273,0.0282,129949192.0,3958793.6535,29871
1669420800000,2022-11-26,CFXUSDT,0.0271,0.0321,0.0267,0.0274,53503821.0,1526339.2915,11261
1669334400000,2022-11-25,CFXUSDT,0.0274,0.0276,0.0266,0.0271,8520774.0,230531.9327,2267
1669248000000,2022-11-24,CFXUSDT,0.028,0.0284,0.0272,0.0274,11812066.0,327470.3278,3047
1669161600000,2022-11-23,CFXUSDT,0.0271,0.0295,0.0269,0.0281,32832901.0,919422.9788,7351
1669075200000,2022-11-22,CFXUSDT,0.0259,0.028,0.025,0.0271,31927660.0,851615.5355,6501
1668988800000,2022-11-21,CFXUSDT,0.0273,0.0274,0.0253,0.0259,24879282.0,656350.6373,5563
1668902400000,2022-11-20,CFXUSDT,0.029,0.0302,0.0269,0.0272,32349436.0,934582.1321,6018
1668816000000,2022-11-19,CFXUSDT,0.0294,0.0299,0.0288,0.029,18707237.0,546277.1611,3371
1668729600000,2022-11-18,CFXUSDT,0.0305,0.031,0.0291,0.0293,16437953.0,491921.0714,3605
1668643200000,2022-11-17,CFXUSDT,0.0302,0.0317,0.0294,0.0306,27736551.0,843062.3954,6263
1668556800000,2022-11-16,CFXUSDT,0.0309,0.0315,0.0295,0.0302,18761767.0,567910.5826,4252
1668470400000,2022-11-15,CFXUSDT,0.0298,0.0319,0.0293,0.0309,42701680.0,1318064.523,10106
1668384000000,2022-11-14,CFXUSDT,0.0302,0.031,0.0286,0.0298,30160545.0,900362.2082,7721
1668297600000,2022-11-13,CFXUSDT,0.0305,0.0312,0.0296,0.0302,22820516.0,694209.7043,6116
1668211200000,2022-11-12,CFXUSDT,0.0315,0.033,0.0289,0.0306,37967809.0,1166708.5364,9776
1668124800000,2022-11-11,CFXUSDT,0.0321,0.0343,0.0285,0.0315,74364178.0,2330712.7241,19486
1668038400000,2022-11-10,CFXUSDT,0.0247,0.035,0.0242,0.0322,93182429.0,2839234.9083,20795
1667952000000,2022-11-09,CFXUSDT,0.0318,0.0319,0.0239,0.0247,43666040.0,1242628.7625,13598
1667865600000,2022-11-08,CFXUSDT,0.0404,0.0406,0.0295,0.0317,45058018.0,1582395.4394,13655
1667779200000,2022-11-07,CFXUSDT,0.0401,0.0412,0.0394,0.0404,16346467.0,657492.6917,4460
1667692800000,2022-11-06,CFXUSDT,0.0412,0.0443,0.04,0.0401,39837340.0,1701161.0912,11317
1667606400000,2022-11-05,CFXUSDT,0.0412,0.0421,0.0406,0.0412,20361716.0,840968.846,6415
1667520000000,2022-11-04,CFXUSDT,0.0396,0.0418,0.0393,0.0412,28738115.0,1168948.6873,6826
