
2017-08-17,301.13,312.18,298.0,302.0,2154655,2154655
2017-08-18,302.0,311.79,283.94,293.96,2858946,2858946
2017-08-19,293.31,299.9,278.0,290.91,620022,620022
2017-08-20,289.41,300.53,282.85,299.1,742847,742847
2017-08-21,299.1,346.52,294.6,323.29,1689472,1689472
2017-08-22,321.04,330.41,144.21,309.8,2454425,2454425
2017-08-23,312.25,324.99,309.41,315.74,2753464,2753464
2017-08-24,315.74,328.04,314.01,323.42,2159417,2159417
2017-08-25,323.42,338.28,323.42,327.24,2354162,2354162
2017-08-26,327.24,335.44,323.41,330.79,1601994,1601994
2017-08-27,332.18,348.13,330.73,348.13,1554477,1554477
2017-08-28,348.11,351.0,331.95,346.0,1463758,1463758
2017-08-29,347.0,377.6,346.0,374.7,1102069,1102069
2017-08-30,374.7,393.71,362.05,385.93,1679526,1679526
2017-08-31,384.64,389.36,377.78,384.79,1704441,1704441
2017-09-01,386.44,394.39,383.18,388.46,1635227,1635227
2017-09-02,388.58,394.32,320.08,343.14,2904008,2904008
2017-09-03,343.56,367.28,320.08,341.77,1801702,1801702
2017-09-04,339.29,344.55,267.94,283.77,2002446,2002446
2017-09-05,286.81,321.52,235.55,312.09,2397490,2397490
2017-09-06,313.29,336.34,312.09,335.0,1793962,1793962
2017-09-07,335.01,342.5,320.17,334.49,1027135,1027135
2017-09-08,334.49,335.1,272.0,302.99,1494309,1494309
2017-09-09,300.01,307.0,281.66,296.74,813750,813750
2017-09-10,296.72,302.78,261.03,293.5,1181903,1181903
2017-09-11,293.51,304.98,285.21,297.3,1436811,1436811
2017-09-12,297.78,316.46,286.01,293.96,1573452,1573452
2017-09-13,293.93,294.5,257.05,276.91,1761080,1761080
2017-09-14,275.76,283.77,215.0,215.21,3110767,3110767
2017-09-15,217.0,270.93,192.0,253.0,3319311,3319311
2017-09-16,255.99,271.81,235.51,249.31,2647152,2647152
2017-09-17,249.32,264.39,239.02,257.55,1149704,1149704
2017-09-18,257.53,306.22,257.11,294.57,1182937,1182937
2017-09-19,296.0,300.0,277.41,284.0,535773,535773
2017-09-20,284.01,294.0,275.91,282.0,302739,302739
2017-09-21,285.1,287.0,252.1,257.0,516193,516193
2017-09-22,258.0,272.97,253.01,264.0,382962,382962
2017-09-23,259.99,286.23,255.11,285.93,788810,788810
2017-09-24,286.5,294.61,275.0,282.0,1582877,1582877
2017-09-25,282.0,299.0,281.34,294.42,1705551,1705551
2017-09-26,294.42,296.81,286.24,287.9,1332125,1332125
2017-09-27,289.91,313.0,286.13,309.74,1641896,1641896
2017-09-28,309.81,311.81,296.89,302.44,2009233,2009233
2017-09-29,302.44,303.0,274.0,292.22,3213725,3213725
2017-09-30,292.62,307.49,292.22,304.36,1214456,1214456
2017-10-01,305.13,306.0,294.0,303.95,1518988,1518988
2017-10-02,303.94,305.0,295.0,296.5,1116501,1116501
2017-10-03,298.15,301.99,283.18,292.48,1622460,1622460
2017-10-04,292.47,297.97,288.0,291.99,1176260,1176260
2017-10-05,290.0,297.44,285.53,294.81,994768,994768
2017-10-06,294.78,310.8,293.78,310.8,1063779,1063779
2017-10-07,309.9,318.5,303.6,311.01,672026,672026
2017-10-08,311.08,317.07,309.0,311.07,923989,923989
2017-10-09,311.13,312.13,286.65,297.19,1462524,1462524
2017-10-10,297.35,308.56,293.0,298.64,2028540,2028540
2017-10-11,300.88,305.5,298.02,304.01,1125331,1125331
2017-10-12,304.01,310.0,302.71,303.99,2397065,2397065
2017-10-13,303.52,353.96,297.0,337.96,5832987,5832987
2017-10-14,337.96,349.8,335.0,342.0,2655702,2655702
2017-10-15,342.0,348.0,316.17,337.96,3326752,3326752
2017-10-16,337.5,354.0,332.78,335.19,2956522,2956522
2017-10-17,335.18,336.58,312.65,315.19,2638150,2638150
2017-10-18,315.19,318.0,284.68,309.7,3915770,3915770
2017-10-19,311.52,315.0,300.0,308.66,2675399,2675399
2017-10-20,308.66,311.18,302.0,304.51,2667391,2667391
2017-10-21,304.51,305.34,290.0,298.94,2558677,2558677
2017-10-22,298.99,306.99,290.0,293.79,2120546,2120546
2017-10-23,293.78,294.6,272.2,281.09,2743010,2743010
2017-10-24,282.27,310.0,275.5,297.38,4253110,4253110
2017-10-25,295.43,300.0,281.0,294.49,2840747,2840747
2017-10-26,294.1,299.76,291.03,294.71,2306446,2306446
2017-10-27,294.72,298.1,292.03,296.33,1852704,1852704
2017-10-28,296.14,297.0,290.1,291.87,1715796,1715796
